קטגוריה	תת קטגוריה	שם החגורה	תיאור קצר	תיאור ארוך	שם תמונה
ציפויים	פוליאוריטן	סילומר פוליאוריטן מוקצף	ציפוי סילומר פוליאוריטן מוקצף במגוון צבעים	ציפוי זה מאופין ברמת קושי נמוכה המשתנה בהתאם לצבעי הציפוי. הצבעים: צהוב, כחול, ירוק, חום, אדום ואפור .                                        הצבע הצהוב בקושי הנמוך ביותר ועד לצבע האפור שקושיו הגבוה ביותר .	PU_sylomer Polyurithane foam
ציפויים	פוליאוריטן	רדיד פוליאוריטן שקוף	ציפוי פוליאוריטן שקוף 	ציפוי זה עשוי מפוליאוריטן שקושיו ° shore A) 85) ומקדם חיכוך נמוך.              	pu_clear foil
ציפויים	פוליאוריטן	רדיד פוליאוריטן D44	ציפוי פוליאוריטן חום 	ציפוי זה עשוי מפוליאוריטן שקושיו ° shore A) 72) ומקדם חיכוך נמוך.              	pu_D44 foil
ציפויים	פוליאוריטן	פוליאוריטן דשא (לבן)	ציפוי פוליאוריטן עם "שערות דשא"	ציפוי זה מאופיין ב"שערות דשא" להגברת החיכוך וריכוך משטח החגורה	pu_grip (grass)
ציפויים	פוליאוריטן	פוליאוריטן ניפל	ציפוי פוליאוריטן עם בליטות קשות	ציפוי זה עשוי מפוליאוריטן שקושיו ° shore A) 86) ומקדם חיכוך נמוך. 	pu_nipple
ציפויים	פוליאוריטן	פוליאוריטן התזה	ציפוי פוליאוריטן המותז על גבי החגורה	ציפוי זה מותז בטכנולוגיה יחודית ע"ג החגורה, צבעו צהוב בדרך-כלל אך ניתן לספקו בצבעים שונים.יש אפשרות לאישורי FDA .קושי הציפוי  - 50°   ( shore A ).	pu_sprayed PU
ציפויים	פוליאוריטן	סלופלקס	יציקה של פוליאוריטן מוקצף.	יציקת פוליאוריטן על-גבי החגורה בטכנולוגיה יחודית. ניתן לספק בצבעי צהוב וחום. קושי הציפוי 70° (shore A ).	pu_seloflex
ציפויים	פוליאוריטן	וולקולן D15	ציפוי פוליאוריטן בצבעי צהוב וחום	ציפוי פוליאוריטן בצבעי צהוב וחום . קושי הציפוי 70° (shore A ).	pu_volkolen D15
ציפויים	פוליאוריטן	רדיד פוליאוריטן מאושר מזון FDA	ציפוי פוליאוריטן מאושר מזון FDA	ציפוי יחודי לתעשיית המזון עם אישורי ה- FDA האמריקאי מיוצר בצבעים ובקושיים שונים. כחול:92,80,60° ( shore A ). לבן: 92,80° ( shore A ). בז': 92° ( shore A ).	pu_pu foil FDA approved
ציפויים	פוליאוריטן	רדיד פוליאוריטן 	ציפוי פוליאוריטן בצבעים ובקושיים שונים.	ציפוי פוליאוריטן בצבעי לבן,חלבי,ונטורל. בצבע הלבן קושי הציפוי 60° (shore A ). בצבע החלבי, קושי הציפוי הינו  85° (shore A ) ובצע נטורל קושי הציפוי  92° (shore A ) .	pu_poil
ציפויים	פוליאוריטן	רדיד פוליאוריטן  עם פסים אורכיים	רדיד פוליאוריטן  עם פסים אורכיים	ציפוי זה יחודי בכך ששטח המגע בין משטח החוגרה לאוביקט המונח עליה מצומצם. צבע:שקוף, קושי:  86° (shore A ).	pu_pu foil  longitudinal rib
ציפויים	פוליאוריטן	פוליאוריטן "פיש-בון"	ציפוי פוליאוריטן עם שטח פנים בצורת "עצמות-דג"	צורת עצמות הדג נועדה להטיב את אחיזת החגורה באובייקט הנמצא עליה (בד"כ אוביקט רך). צבע לבן, קושי  86° (shore A ).	pu_pu fishbone
					
ציפויים	ציפויי גומי	לינטקס	ציפוי לינטקס, צבע אדום.	ציפוי זה משמש בדרך-כלל למכונות אריזה.                                       בעל קושי נמוך - 40° (shore A ). מקדם חיכוך גבוה מאוד.	Rubber_linatex
ציפויים	ציפויי גומי	לינטריל	ציפוי לינטריל, צבע כתום	ציפוי לינטריל קושי  55° (shore A ), מקדם חיכוך גבוה.	Rubber_linatril
ציפויים	ציפויי גומי	LCN 	ציפוי LCN , צבע אדום	ניתן להשתמש בציפוי זה במכונוות אריזה. בעל קושי נמוך - 45° (shore A ). מקדם חיכוך גבוה מאוד.	Rubber_LCN
ציפויים	ציפויי גומי	גומי דשא סופר גריפ	ציפוי גומי דשא בעל מקדם חיכוך גבוה מאוד	ציפוי גומי דשא זה משמש בד"כ לשינוע מוצרים חלקים. צבעים:בז' ושחור.	Rubber_Rubber Supergrip
ציפויים	ציפויי גומי	גומי דשא נוגד החלקה	ציפוי גומי דשא בעל מקדם חיכוך גבוה מאוד	ציפוי זה משמש לשינוע מוצרים רטובים הנוטים להחליק בזמן השינוע.	Rubber_Rubber grass non-skid
ציפויים	ציפויי גומי	קורקס	ציפוי קורקס, צבע בז'.	ציפוי המשמש בדרך-כלל למכונוות אריזה.                                            בעל קושי נמוך- 40° (shore A ).מקדם חיכוך גבוה מאוד.	Rubber_Correx
ציפויים	ציפויי גומי	APLN	ציפוי APLN בצבע אדום	ציפוי APLN  קושי  55° (shore A ), מקדם חיכוך גבוה.	Rubber_APLN
ציפויים	ציפויי גומי	לינפלוס	ציפוי לינפלוס מאושר תקן FDA האמריקאי.	ציפוי זה בעל קושי נמוך- 40° (shore A ). מקדם חיכוך גבוה מאוד.   משמש בד"כ למכונות אריזה במפעלי מזון.	Rubber_linaplus
ציפויים	ציפויי גומי	רמליין	ציפוי רך מאוד בצבעים : חום אדמדם וכתום.	ציפוי רך מאוד בעל מקדם חיכוך גבוה מאוד.                                      צבע חום אדמדם, קושי נמוך-35° (shore A).מקדם חיכוך גבוה מאוד. צבע כתום בעל קושי נמוך- 50° (shore A ),מקדם חיכוך גבוה . 	Rubber_remline
ציפויים	ציפויי גומי	גומי ניפל	ציפוי גומי עם בליטות קשות	ציפוי לשינוע מוצרים רכים, בעל קושי נמוך- 40° (shore A ). מקדם חיכוך גבוה.	Rubber_Rubber Nipple
ציפויים	ציפויי גומי	RP400	ציפוי RP400 , קושי נמוך, צבע צהוב.	ניתן להשתמש בציפוי זה במכונוות אריזה. בעל קושי נמוך - 40° (shore A ). מקדם חיכוך גבוה מאוד.	Rubber_RP400
ציפויים	ציפויי גומי	G/GSTR	ציפוי מחוספס	ציפוי זה מחוספס ומיוצר בצבעים: כחול, ירוק ושחור.	Rubber_G-GSTR
ציפויים	ציפויי גומי	ניאופרן	חומר המשמש ליצור חגורות טיימינג ולציפויין. מוכר גם כ CR/SBR 63	חומר המשמש הן ליצור החגורות עצמן והן לציפוי חגורות. צבע שחור, קושי:  60° (shore A ).	Rubber_Neoprene
ציפויים	ציפויי גומי	פרבונן שחור	מוכר גם כ- NBR/SBR 65	משמש לציפוי חגורות. צבע שחור, קושי:  65° (shore A ).	Rubber_perbunan black
ציפויים	ציפויי גומי	פורול	פורול - גומי CR צבע שחור	פורול - גומי CR צבע שחור	Rubber_porol
ציפויים	ציפויי גומי	גומי ספוגי	גומי ספוגי בצבע כתום	גומי ספוגי בצבע כתום משמש לציפוי חגורת באפליקציות הדורשות רכות ע"ג החגורה	Rubber_sponge rubber
ציפויים	ציפויי גומי	אלסטומר	אלסטומר בצבע ירוק	אלסטומר ירוק - קושי  55° (shore A )	Rubber_Elastomer
ציפויים	ציפויי גומי	ניאופרן מאושר מזון FDA	ציפוי זה משמש לאריזה במפעלי מזון	ציפוי גומי היחודי בכך שהוא מאושר מזון ויכול לשמש כציפוי לחגורות למכונות אריזה (מקדם חיכוך גבוה) במפעלי מזון. קושי  60° (shore A ), צבע בהיר.	Rubber_Neoprene FDA approved
ציפויים	ציפויי גומי	ברובן בהיר	ציפוי פרובן NBR 60 ,מאושר למגע עם מי-שתייה.	ציפוי זה הינו היחיד בעל אישור KTW למגע עם מי - שתייה, בעל מקדם חיכוך גבוה ,קושי  60° (shore A ), צבע בהיר.	Rubber_Peruban bright
ציפויים	ציפויי גומי	פארה	ציפוי פארה SBR/NR 40	ציפוי פארה בעל מקדם חיכוך גבוה מאוד, קושי  40° (shore A ), צבע אפור.	Rubber_Para
ציפויים	ציפויי גומי	ויטון	ויטון - גומי פלואורי	ציפוי גומי פלואורי בצבע שחור ,קושי 75° (shore A ) .	Rubber_Viton
ציפויים	ציפויי PVC	PVC 	ציפוי PVC מאושר מזון FDA -צבע לבן , כחול	ציפוי זה בעל קושי נמוך- 40° (shore A ). מקדם חיכוך גבוה מאוד. מאושר FDA  לשימוש במפעלי מזון.	pvc_pvc
ציפויים	ציפויי PVC	 סופר גריפ - PVC 	ציפוי PVC דשא ,צבע לבן	ציפוי זה משמש לשינוע מוצרים בזויות שונות ומונע את החלקתם לאחור.	pvc_supergrip
ציפויים	ציפוי PVC	     "פישבון"  PVC 	ציפוי "פישבון" למניעת הדבקה לגב החגורה.	ציפוי זה משמש לשינוע מוצרים רכים ומונע הדבקה למשטח החגורה , צבעו לבן וקושיו 65° (Shore A).	pvc_fishbone
ציפויים	ציפויי PVC	PVC   יהלום	ציפוי מחוספס עם גבשושיות בצורת יהלום.	ציפוי זה משמש לשינוע מוצרים רכים , מגביר את אחיזת החגורה ומונע החלקה.	pvc_diamond
ציפויים	ציפויי PVC	PVC ניפל	ציפוי מחוספס עם גבשושיות מעוגלות	ציפוי זה משמש לשינוע מוצרים רכים שלא ניתן לפוע במרקמם ע"י "נעיצת-שפיצים" לתוכם. ציפוי זה אינו חודר למוצר המשונע ושומר על מירקמו המקורי. צבע לבן, קושי 65° (Shore A).	pvc_nipple
ציפויים	ציפויי PVC	PVC "שן-מסור"	ציפוי PVC עם פסים רוחביים בולטים על שטח החגורה	ציפוי זה מזכיר בצורתו שיני מסור ומכאן שמו, ציפוי זה משמש לשינוע מוצרים בזוויות שונות.	pvc_sawtooth
ציפויים	ציפוי PVC	PVC מיני גריפ	ציפוי דשא עדין	ציפוי זה מגביר את מקדם החיכוך של החגורה, צבעו כחול.	pvc_minigrip
ציפויים	ציפויי PVC 	PVC משולשים	ציפוי עם בליטות משולשות על גביו.	ציפוי לשינוע מוצרים רכים, בזוויות שונות, צבעו לבן ובעל מקדם חיכוך גבוה.	pvc_triangle
ציפויים	ציפויי PVC	PVC פסים אורכיים	ציפוי שנועד לצמצום שטח המגע של החגורה.	ציפוי זה נועד לצמצם את שטח המגע שבין החגורה למוצר המשוע על-גבה. צבעו לבן או שחור.	pvc_longitudinal rib
					
ציפויים נוספים	ציפוי בד	ציפוי בד ירוק	מיפי לאפליקציות שינוע	ציפוי לאפליקציות שינוע המונע מתיחת החגורה. צבע ירוק	o.c_fabric coating
ציפויים נוספים	ציפוי סיליקון	ציפויי סיליקון	ציפוי סיליקון בעל מקדם חיכוך גבוה מאוד	ציפויי סיליקון ישירות ע"ג החגורה. בעל קושיים וצבעים שונים: עובי עד8 מ"מ,- קושי 30° ,עובי עד 10 מ"מ -קושי  40° ,עובי עד 20 מ"מ- קושי 60° (Shore A).	o.c_silicone
ציפויים נוספים	ציפוי עור	ציפוי עור	ציפוי בעל מקדם חיכוך נמוך.	ציפוי זה נועד לשינוע מוצרים עדינים והגנה עליהם משריטות או סימנים שיכולים לנבוע מהמגע עם החגורה.	o.c_Chrome Leather
ציפויים נוספים	ציפוי - מוביל	ציפוי עם מוביל פוליאוריטן חלק	ציפוי פוליאוריטן פנימי	ציפוי עבור חלקה הפנימי של החגורה ונועד לשמור את תנועת החגורה קבוע וללא תנועות לצדדים. צבע לבן: בעל קושי 85° (Shore A),שקוף- קושי 70° (Shore A).	o.c_pu v-guide smooth
ציפויים נוספים	ציפוי -מוביל	מוביל פוליאוריטן משונן	ציפוי פוליאוריטן פנימי	ציפוי עבור חלקה הפנימי של החגורה ונועד לשמור את תנועת החגורה קבוע וללא תנועות לצדדים,השיניים נועדו להגדיל את גמישות החגורה לשימוש בפולי בקוטר קטן. צבע לבן: בעל קושי 85° (Shore A),שקוף- קושי 70° (Shore A).	o.c_pu v-guide notched
ציפויים נוספים	ציפוי אנטי-סטאטי	ציפוי אנטי-סטאטי 	ציפוי אנטי-סטאטי, צבע שחור לק	אפשרות לציפוי בד אנטי-סטאטי על השיניים להפחתת רעש ומניעת חשמל סטאטי. אפשרות לציפוי בד אנטי-סטאטי ע" החגורה.	o.c_antistatic surfaces
ציפויים נוספים	ציפוי לבד	ציפוי לבד	ציפוי לבד-צבעים: אפור בהיר ואפור כהה	ציפוי המשמש לשינוע מוצרים חמים מאוד- עד 500°c.	o.c_novo felt
ציפויים נוספים	טפלון	רדיד טפלון	ציפוי ברדיד טפלון מונע הדבקה	ציםוי זה מיועד לשינוע מוצרים חמים הנוטים להדבק לחגורה, ציפוי הטפלון מונע את ההדבקות.	o.c_PTFE coating (teflon)
					
ציפויים מיוחדים	"מברשת ברזל"	ציפוי "מברשת ברזל"	ציפוי המיעד לשינוע מומרים חמים וחלקים	ציפוי זה מאופיין ב"קוצים" מפלדת אל-חלד ומיועד לשינוע מוצרים חמים ו/או חלקים .בנוסף, ניתן לשנע ע"ג החגורה דגים ובשר.	s.c_stilbrush
ציפויים מיוחדים	ציפוי גומי 	ציפוי גומי מיוחד	ציפוי גומי ע"ג חגורות סגורות	בעזרת טכנולוגיה יחודית נתן לצפות חגורות סגורות בציפוי גומי.	s.c_seamless ruber coating
ציפויים מיוחדים	ציפוי פוליאוריטן	ציפוי פוליאוריטן בהתזה	ציפוי פוליאוריטן בהתזה ע"ג חגורות סגורות	ציפוי זה עמיד בפני שחיקה וקריעה ומיוצר בקושיים וצבעים שונים: צהוב- 50° (Shore A),כחול- 82° (Shore A). ציפוי זה מאןשר מזון ועמיד עד טמפ' 95°c .	s.c_seamless PU spray coating
ציפויים מיוחדים	ציפוי פוליאוריטן	ציפוי פוליאוריטן עם פסים אורכיים	ציפוי זה זמין בצבעים: אדום, כחול או שקוף	ציפוי זה משמש בעיקר לתעשיית העץ ובשינוע קרטונים.	s.c_PU longitudinal grooves
					
ציפויים עמידים בחום	ציפויים לשינוע מוצרים חמים מאוד	טמקס 87	עמידות בטמפ' עד 150°c .	ציפוי מפלסטיק, צבע טבעי, קושי 87° (Shore A), ללא סיליקון. אפשרות לציפוי בהלחמה אינסופית, ניתן להלחים ע"ג חגורת פוליאוריטן.	t.r.c_temax87
ציפויים עמידים בחום	ציפוי גומי פלואורי	ויטון 	עמידות בטמפ' מ (10-) עד 275°c .	ציפוי זה עשוי מגומי פלואורי בצבע שחור, קושי 75° (Shore A)/	t.r.c_viton
ציפויים עמידים בחום	ציפוי ביציקה אינסופית	EPDM	עמידות בטמפ' עד 150°c .	ציםוי גומי בצבע שחור,ק ושי 50° (Shore A).	no picture
ציפויים עמידים בחום	ציפוי לשינוע מוצרים חמים מאוד	ציפוי קבלר-לבד	עמידות בטמפ' עד 150°c .	ציפוי מחורץ ע"ג חגורה פתוחה/סגורה צבע צהוב.	t.r.c_kevlar-felt
ציפויים עמידים בחום	צופוי מותאם FDA האמריקאי	סיליקון	עמידות בטמפ' מ (60-) עד 220°c .	ציפוי סיליקון בצבע שקוף, קושי 30° (Shore A), ציפוי אינסופי, לא דביק, מותאם FDA, חיכוך גבוה לברזל ולנייר.	t.r.c_silicone
					
ציפויים לתעשיית המזון	ציפויים מאושרי FDA האמריקאי	פוליאוריטן	ציפויי פוליאוריטן במגוון קושיים וצבעים	ציפוי כחול- ניתן בקושיים: 60°,80°,92° (Shore A), לבן- ניתן בקושיים: 80° ,92° (Shore A)' בז'- ניתן בקושי 92° (Shore A).	f.i_PU blue
ציפויים לתעשיית המזון	ציפויים מאושרי FDA האמריקאי	גומי לבן	ציפוי גומי לבן מאושר FDA	ציפוי גומי לבן - קושי 60° (Shore A).	f.i_rubber white
ציפויים לתעשיית המזון	ציפויים מאושרי FDA האמריקאי	PVC לבן	ציפוי PVC לבן מאושר FDA	ציפוי PVC לבן - קושי 65° (Shore A).	f.i_pvc white
ציפויים לתעשיית המזון	ציפויים מאושרי FDA האמריקאי	סיליקון שקוף	ציפוי סיליקון שקוף מאושר FDA	ציפוי סיליקון שקוף קושי 30° (Shore A), מקדם חיכוך גבוה מאוד.	f.i_silicone transparent
ציפויים לתעשיית המזון	ציפויים מאושרי FDA האמריקאי	טפלון PTFE	ציפוי טפלון PTFE מאושר FDA	ציפוי טפלון בעל מקדם חיכוך נמוך מאוד.	f.i_teflon (PTEF)
ציפויים לתעשיית המזון	ציפויים מאושרי FDA האמריקאי	פוליאוריטן N16	ציפוי פוליאוריטן N16 מאושר FDA	ציפוי פוליאוריטן N16 מאופיין בשטח פנים "ספייקס" בצבע כחול לשינוע מוצרים רכים וחלקים	f.i_N16 PU material
ציפויים לתעשיית המזון	ציפויים מאושרי FDA האמריקאי	פוליאוריטן N5	ציפוי פוליאוריטן N5 מאושר FDA	ציפוי פוליאוריטן N5 מאופיין בשטח פנים "ספייקס-קטום" בצבע כחול לשינוע מוצרים רכים וחלקים	f.i_N5 PU material
ציפויים לתעשיית המזון	ציפויים מאושרי FDA האמריקאי	פוליאוריטן PP כחול	ציפוי פוליאוריטן PP כחול מאושר FDA	ציפוי פוליאוריטן PP כחול מאופיין בשטח פנים "ספייקס" במרווחים גדולים, לשינוע מוצרים רכים גדולים וחלקים.	f.i_PP blue PU material
ציפויים לתעשיית המזון	ציפויים מאושרי FDA האמריקאי	פוליאוריטן PSN ניפל	ציפוי פוליאוריטן PSN ניפל מאושר FDA	ציפוי פוליאוריטן PSN ניפל מאופיין בשטח פנים מחוספס עם גבשושיות קטנות וצפופות.	f.i_PSN nipple
ציפויים לתעשיית המזון	ציפויים מאושרי FDA האמריקאי	פוליאוריטן "ספייקס"	ציפוי פוליאוריטן "ספייקס" מאושר FDA	צפוי פוליאוריטן "ספייקס" מאופיין בגבשושיות חדות מאוד ולא צפופות לשינוע מוצרים רכים, חלקים וכבדים.	f.i_PU spikes
ציפויים לתעשיית המזון	ציפויים מאושרי FDA האמריקאי	נופן FDA	אפשרי מחומרים שונים	ניתן לייצר ציפוי זה מחומרים שונים: גומי או פוליאוריטן או PVC, שטח הפנים מאופיין בגבשושיות מאורכות.	f.i_FDA noppen
					
חגורות	חגורות מיוחדות לשינוע מזון	חגורות עם פינים	חגורות שינוע עם פינים מפלדת אל-חלד.	חגורות מתאימות לשינוע דגים,מחוזקות בחוט קבלר עם פינים בכל שן שנייה. המידות הסטנדרטיות הן : 6T10 600 או  10T10 600, ניתן לייצר גם לפי דרישת הלקוח.	t.o.f_Belt with pins
חגורות	חגורות מיוחדות לשינוע מזון	חגורות עם ציפוי "מברשת פלדה"	חגורות שינוע עם ציפוי מברשת פלדת אל- חלד	זיזי הפלדה ניתנים להלחמה במאונך ע"ג החגורה באורך של עד 6 מ"מ.	t.o.f_Belt with still brush coating
חגורות	חגורות מיוחדות לשינוע מזון	חגורת "ציפוי סיכות"	חגורה עם ציפוי סיכות.	ניתן לצפות את החגורה בציפןי סיכות חדות ברוחב 10 מ"מ ועובי 1.4 מ"מ. החגורה משמשת בעיקר לשינוע דגים.	t.o.f_Belt with Krampen
חגורות	חגורות מיוחדות לשינוע מזון	חגורת שלבים גמישים	חגורה לשינוע מוצרים בעובי משתנה (שקיקי-תה) ומוצרים שבירים (עוגיות)	ניתן לייצר את השלבים הגמישים בקושיים שונים. רוחב החגורה הסטנדרטי הינו 10 מ"מ והאורך לפי דרישה.	t.o.f_Belt with spring cleat
חגורות	חגורות מיוחדות לשינוע מזון	חגורת "ספייקס" ST5	חגורה למכונות חיתוך	בחגורה אין חוטי חיזוק והיא בעלת מרווח שיניים קטן במיוחד,שילוב שני הגורמים הללו מאפשר שימוש ע"ג פולי קטן במיוחד. המידה הסטנדרטית : 48x945 .	t.o.f_Spikebelt ST5
					
עיבוד	כירסום בטכנולוגית CNC.	כירסום הציפויים.	כירסום באמצעות ציוד מיוחד	בכדי לשפר את גמישות בציפויים עבים, ניתן לכרסם פסים לרוחב הציפוי	Processing_milling , processing_high friction
עיבוד 	חירוץ	חירוץ הציפויים. 	חירוץ בצורות שונות ע"ג הציפוי	בכדי למקם את המוצרים המשונעים ע"ג החגורה בצורה אופטימלית, אנו ממליצים להשתמש בציפוי מחורץ.	Processing_milling grooves
עיבוד	ניקוב	ניקוב חורים ע"ג החגורה.	ניקוב החגורה לישומים שונים.	חירור החגורות משמש לישומי וואקום או לצורך החנה להברגת שלבים ע"ג החגורה.	Processing_vacuum belts , Processing_cleats
					
חגורת תזמון	חגורות תזמון דו-צדדיות.	חגורת תזמון דו-צדדית	חגורת תזמון דו-צדדית מאופיינת בכך שהיא משוננת הן בצידה הפנימי והן בצידה החיצוני.	בחגורה זו השיניים בשני הצדדים במרווחים שווים.	D.t.b_cogs inside and outside
חגורת תזמון	חגורות תזמון דו-צדדיות.	חגורת תזמון דו-צדדית מרובת מרווחים בצד אחד	חגורת תזמון עם שני מרווחים בצד אחד	חגורה זו מאופיינת בכך שבצד אחד יש מרווח אחד לדוגמא: T10 ובצד השני שני מרווחים לדוגמא: T10 ו T5.	D.t.b_Multi-Vario-Dual timing belt
חגורת תזמון	חגורות תזמון דו-צדדיות.	חגורת "ווריו" דו-צדדית	חגורת תזמון בעלת מרווח שונה בכל צד.	חגורה זו מאופיינת בכך שבצד אחד יש מרווח אחד לדוגמא:T10 ובצד השני מרווח אחר לדוגמא : T5.	D.t.b_Vario Dual timing belt
חגורת תזמון	חגורות תזמון דו-צדדיות.	חגורת "ווריו" דו-צדדית מרובת מרווחים בשני הצדדים.	חגורת תזמון בעלת מרווחים שונים בשני הצדדים	חגורה זו מאופיינת בכך שבצד אחד יש שני מרווחים, לדוגמא: T10 ו  T5 ובצד השני יש גם שני מרווחים, לדוגמא: T10  ו T5.	D.t.b_Multi-Vario-Dual timing belt
חגורת תזמון 	חגורות תזמון מיוחדות.	חגורת תזמון עם כיסים	חגורה זו מאופיינת בשלבים ארוכים ודקים המותקנים ע"ג החגורה	שלבים אלה ניתנים לייצור בגמישויות שונות.ניתן להשתמש לאפליקציות שינוע מגוונות כגון מוצרים הגייניים(סינרי תינוקות, מגבונים סניטריים), מוצרי דפוס ודואר, צינצנות וכו'.	P.t.b_Pocket timing belt sample , P.t.b_Pocket timing belt
חגורות תזמון	חגורות תזמון מיוחדות.	חגורות מגנטיות	חגורה בעלת יכולת מיגנוט של מוצרים העשויים ממתכות שונות	טכנולוגיה זו הינה טכנולוגיה יחודית לחברת "NORDITEC "ופותחה לצורך שינוע מוצרים מתכתיים עגולים או שטוחים בזוויות שונות, מבלי שיזוזו ממקומם. ניתן לקבוע מרווחים בין איזורי המגנוט כך שכל מוצר ע"ג החגורה יקובע במקומו ולא יזוז. 	M.t.b_Magnetic belt-sample 2 ,  M.t.b_Magnetic belt-smaple 1
					
וואקום	חגורות וואקום	חגורת וואקום	חגורות וואקום מאופיינות בציפוי עם חורים וחריצים	חגורות אלה משמשות לאפליקציות שינוע של מוצרים קלים הנעים במהירות גבוהה ויש צורך להצמידם לחגורה מבלי שיזוזו.	V.t.b_Vacuum timing belt (sample) , V.t.b_Vacuum timing belts (samples)
					
שלבים	חגורות שלבים - חיכוך	חגורת שלבים	הלחמת שלבים על-גבי חגורת טיימינג בשיטת החיכוך.	ניתן לייצר שלבים לפי דרישת הלקוח ולהלחימם בשיטת חיכוך יחודית ולהפכם לחלק מהחגורה ובכך לא ניתן להפרידם מהחגורה בשום צורה.	c.b_sample 1 , c.m_cieat engineering drawing.1
שלבים	חגורות שלבים -הלחמת חום	חגורת שלבים	הלחמת שלבים על-גבי חגורת טיימינג בשיטת הלחמת חום.	ניתן לייצר שלבים לפי דרישת הלקוח ולהלחימם בשיטת הלחמת חום.	c.m_cleat engineering drawing
שלבים	חגורות שלבים -הדבקה	חגורת שלבים	חיבור שלבים לחגורת טיימינג ע"י הדבקה בחומרים כימיים.	ניתן לייצר שלבים לפי דרישת הלקוח ולהדביקם בשיטות יחודיות.	c.m_sample 2
שלבים	חגורת שלבים - חיבור.	חגורת שלבים	חיבור שלבים לחגורת טיימינג ע"י הברגתם לחגורה.	ניתן לייצר שלבים לפי דרישת הלקוח ולחברם לחגורת טיימינג מבלי לפגוע בשיניים בשיטות יחודיות.	r-c_System Type - M , r-c_System Type - N
שלבים	שלבים ניתנים להסרה	חגורת שלבים	ניתן לחבר ולהסיר את השלבים מהחגורה בקלות.	השלבים מחוברים לחגורה באמצעות הברגה ובכך ניתן להסירם מחגורה משומשת ולהרכיבם שוב על חגורה חדשה.	r-c_System Type - N
					
מנעולים	סגירת חגורות ע"ג המכונה	מנעול Pin-Joint 	באמצעות מנעול זה ניתן לסגור את החגורה ע"ג המכונה	מנעול זה בא לתת פיתרון למכונות אשר התקנת החגורות בהן מסובכת ודורשת פירוק של חלקים רבים. בעזרת ה- Pin-Joint ניתן להתקין את החגורה בצורה יעילה וללא צורך בפירוק חלקים במכונה.	D.b.f_Pin joint
מנעולים	סגירת חגורות ע"ג המכונה	מנעול ספירלה	חיבור באמצעות ספירלה	סגירת החגורה ע"ג המכונה עם מנעול ספירלה ופין מפלסטיק. (יש לברר לגבי המידות האפשריות).	D.b.f_Plastic spiral joint